time_s,z_low_um,z_high_um,z_mid_um,count
120.0,700.0,800.0,750.0,37
120.0,800.0,900.0,850.0,44
120.0,900.0,1000.0,950.0,38
120.0,1000.0,1100.0,1050.0,46
120.0,1100.0,1200.0,1150.0,37
120.0,1200.0,1300.0,1250.0,32
120.0,1300.0,1400.0,1350.0,37
120.0,1400.0,1500.0,1450.0,22
120.0,1500.0,1600.0,1550.0,29
120.0,1600.0,1700.0,1650.0,20
120.0,1700.0,1800.0,1750.0,13
120.0,1800.0,1900.0,1850.0,11
120.0,1900.0,2000.0,1950.0,3
130.0,0.0,100.0,50.0,8
130.0,100.0,200.0,150.0,8
130.0,200.0,300.0,250.0,20
130.0,300.0,400.0,350.0,13
130.0,400.0,500.0,450.0,22
130.0,500.0,600.0,550.0,28
130.0,600.0,700.0,650.0,29
130.0,700.0,800.0,750.0,33
130.0,800.0,900.0,850.0,42
130.0,900.0,1000.0,950.0,50
130.0,1000.0,1100.0,1050.0,44
130.0,1100.0,1200.0,1150.0,35
130.0,1200.0,1300.0,1250.0,35
130.0,1300.0,1400.0,1350.0,36
130.0,1400.0,1500.0,1450.0,25
130.0,1500.0,1600.0,1550.0,30
130.0,1600.0,1700.0,1650.0,15
130.0,1700.0,1800.0,1750.0,9
130.0,1800.0,1900.0,1850.0,12
130.0,1900.0,2000.0,1950.0,6
140.0,0.0,100.0,50.0,7
140.0,100.0,200.0,150.0,9
140.0,200.0,300.0,250.0,14
140.0,300.0,400.0,350.0,14
140.0,400.0,500.0,450.0,28
140.0,500.0,600.0,550.0,28
140.0,600.0,700.0,650.0,28
140.0,700.0,800.0,750.0,30
140.0,800.0,900.0,850.0,46
140.0,900.0,1000.0,950.0,44
140.0,1000.0,1100.0,1050.0,43
140.0,1100.0,1200.0,1150.0,44
140.0,1200.0,1300.0,1250.0,43
140.0,1300.0,1400.0,1350.0,30
140.0,1400.0,1500.0,1450.0,21
140.0,1500.0,1600.0,1550.0,25
140.0,1600.0,1700.0,1650.0,20
140.0,1700.0,1800.0,1750.0,14
140.0,1800.0,1900.0,1850.0,7
140.0,1900.0,2000.0,1950.0,5
150.0,0.0,100.0,50.0,7
150.0,100.0,200.0,150.0,6
150.0,200.0,300.0,250.0,12
150.0,300.0,400.0,350.0,21
150.0,400.0,500.0,450.0,20
150.0,500.0,600.0,550.0,18
150.0,600.0,700.0,650.0,42
150.0,700.0,800.0,750.0,32
150.0,800.0,900.0,850.0,42
150.0,900.0,1000.0,950.0,44
150.0,1000.0,1100.0,1050.0,42
150.0,1100.0,1200.0,1150.0,48
150.0,1200.0,1300.0,1250.0,51
150.0,1300.0,1400.0,1350.0,25
150.0,1400.0,1500.0,1450.0,26
150.0,1500.0,1600.0,1550.0,20
150.0,1600.0,1700.0,1650.0,23
150.0,1700.0,1800.0,1750.0,14
150.0,1800.0,1900.0,1850.0,4
150.0,1900.0,2000.0,1950.0,3
160.0,0.0,100.0,50.0,8
160.0,100.0,200.0,150.0,6
160.0,200.0,300.0,250.0,11
160.0,300.0,400.0,350.0,14
160.0,400.0,500.0,450.0,18
160.0,500.0,600.0,550.0,30
160.0,600.0,700.0,650.0,32
160.0,700.0,800.0,750.0,33
160.0,800.0,900.0,850.0,46
160.0,900.0,1000.0,950.0,46
160.0,1000.0,1100.0,1050.0,49
160.0,1100.0,1200.0,1150.0,45
160.0,1200.0,1300.0,1250.0,40
160.0,1300.0,1400.0,1350.0,30
160.0,1400.0,1500.0,1450.0,28
160.0,1500.0,1600.0,1550.0,32
160.0,1600.0,1700.0,1650.0,13
160.0,1700.0,1800.0,1750.0,12
160.0,1800.0,1900.0,1850.0,4
160.0,1900.0,2000.0,1950.0,3
170.0,0.0,100.0,50.0,7
170.0,100.0,200.0,150.0,10
170.0,200.0,300.0,250.0,7
170.0,300.0,400.0,350.0,13
170.0,400.0,500.0,450.0,19
170.0,500.0,600.0,550.0,26
170.0,600.0,700.0,650.0,23
170.0,700.0,800.0,750.0,40
170.0,800.0,900.0,850.0,46
170.0,900.0,1000.0,950.0,58
170.0,1000.0,1100.0,1050.0,47
170.0,1100.0,1200.0,1150.0,43
170.0,1200.0,1300.0,1250.0,36
170.0,1300.0,1400.0,1350.0,32
170.0,1400.0,1500.0,1450.0,27
170.0,1500.0,1600.0,1550.0,34
170.0,1600.0,1700.0,1650.0,16
170.0,1700.0,1800.0,1750.0,6
170.0,1800.0,1900.0,1850.0,5
170.0,1900.0,2000.0,1950.0,5
180.0,0.0,100.0,50.0,6
180.0,100.0,200.0,150.0,9
180.0,200.0,300.0,250.0,8
180.0,300.0,400.0,350.0,16
180.0,400.0,500.0,450.0,14
180.0,500.0,600.0,550.0,22
180.0,600.0,700.0,650.0,31
180.0,700.0,800.0,750.0,33
180.0,800.0,900.0,850.0,53
180.0,900.0,1000.0,950.0,46
180.0,1000.0,1100.0,1050.0,51
180.0,1100.0,1200.0,1150.0,49
180.0,1200.0,1300.0,1250.0,39
180.0,1300.0,1400.0,1350.0,27
180.0,1400.0,1500.0,1450.0,33
180.0,1500.0,1600.0,1550.0,26
180.0,1600.0,1700.0,1650.0,13
180.0,1700.0,1800.0,1750.0,15
180.0,1800.0,1900.0,1850.0,7
180.0,1900.0,2000.0,1950.0,2
190.0,0.0,100.0,50.0,6
190.0,100.0,200.0,150.0,9
190.0,200.0,300.0,250.0,7
190.0,300.0,400.0,350.0,14
190.0,400.0,500.0,450.0,14
190.0,500.0,600.0,550.0,24
190.0,600.0,700.0,650.0,26
190.0,700.0,800.0,750.0,41
190.0,800.0,900.0,850.0,38
190.0,900.0,1000.0,950.0,60
190.0,1000.0,1100.0,1050.0,50
190.0,1100.0,1200.0,1150.0,45
190.0,1200.0,1300.0,1250.0,35
190.0,1300.0,1400.0,1350.0,41
190.0,1400.0,1500.0,1450.0,29
190.0,1500.0,1600.0,1550.0,20
190.0,1600.0,1700.0,1650.0,16
190.0,1700.0,1800.0,1750.0,14
190.0,1800.0,1900.0,1850.0,8
190.0,1900.0,2000.0,1950.0,3
200.0,0.0,100.0,50.0,5
200.0,100.0,200.0,150.0,9
200.0,200.0,300.0,250.0,10
200.0,300.0,400.0,350.0,9
