time_s,r_inner_um,r_outer_um,r_mid_um,count,shell_volume_um3,density_per_um3
240.0,500.0,750.0,625.0,89,1447750614.5292964,6.147467602970857e-08
240.0,750.0,1000.0,875.0,161,2704387675.965212,5.95328848119152e-08
250.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
250.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
250.0,100.00000000000001,150.0,125.0,0,19373154.697137043,0.0
250.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
250.0,200.0,300.0,250.0,11,114144533.08042914,9.636904811068894e-08
250.0,300.0,500.0,399.99999999999994,27,517315590.2911194,5.219251170220049e-08
250.0,500.0,750.0,625.0,90,1447750614.5292964,6.21654027266716e-08
250.0,750.0,1000.0,875.0,172,2704387675.965212,6.360034899161127e-08
260.0,0.0,50.0,25.000000000000004,1,3665191.4291880922,2.72837045300392e-07
260.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
260.0,100.00000000000001,150.0,125.0,1,19373154.697137043,5.161781938115528e-08
260.0,150.0,200.0,175.0,2,31939525.311496243,6.261833826566371e-08
260.0,200.0,300.0,250.0,9,114144533.08042914,7.884740299965458e-08
260.0,300.0,500.0,399.99999999999994,27,517315590.2911194,5.219251170220049e-08
260.0,500.0,750.0,625.0,90,1447750614.5292964,6.21654027266716e-08
260.0,750.0,1000.0,875.0,174,2704387675.965212,6.433988793337418e-08
270.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
270.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
270.0,100.00000000000001,150.0,125.0,1,19373154.697137043,5.161781938115528e-08
270.0,150.0,200.0,175.0,4,31939525.311496243,1.2523667653132742e-07
270.0,200.0,300.0,250.0,8,114144533.08042914,7.008658044413741e-08
270.0,300.0,500.0,399.99999999999994,32,517315590.2911194,6.185779164705242e-08
270.0,500.0,750.0,625.0,87,1447750614.5292964,6.009322263578254e-08
270.0,750.0,1000.0,875.0,175,2704387675.965212,6.470965740425565e-08
280.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
280.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
280.0,100.00000000000001,150.0,125.0,1,19373154.697137043,5.161781938115528e-08
280.0,150.0,200.0,175.0,2,31939525.311496243,6.261833826566371e-08
280.0,200.0,300.0,250.0,5,114144533.08042914,4.3804112777585876e-08
280.0,300.0,500.0,399.99999999999994,39,517315590.2911194,7.538918356984514e-08
280.0,500.0,750.0,625.0,94,1447750614.5292964,6.492830951452367e-08
280.0,750.0,1000.0,875.0,150,2704387675.965212,5.546542063221913e-08
290.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
290.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
290.0,100.00000000000001,150.0,125.0,4,19373154.697137043,2.0647127752462113e-07
290.0,150.0,200.0,175.0,0,31939525.311496243,0.0
290.0,200.0,300.0,250.0,5,114144533.08042914,4.3804112777585876e-08
290.0,300.0,500.0,399.99999999999994,38,517315590.2911194,7.345612758087475e-08
290.0,500.0,750.0,625.0,81,1447750614.5292964,5.5948862454004435e-08
290.0,750.0,1000.0,875.0,184,2704387675.965212,6.80375826421888e-08
300.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
300.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
300.0,100.00000000000001,150.0,125.0,0,19373154.697137043,0.0
300.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
300.0,200.0,300.0,250.0,8,114144533.08042914,7.008658044413741e-08
300.0,300.0,500.0,399.99999999999994,36,517315590.2911194,6.959001560293398e-08
300.0,500.0,750.0,625.0,85,1447750614.5292964,5.8711769241856506e-08
300.0,750.0,1000.0,875.0,180,2704387675.965212,6.655850475866295e-08
310.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
310.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
310.0,100.00000000000001,150.0,125.0,1,19373154.697137043,5.161781938115528e-08
310.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
310.0,200.0,300.0,250.0,6,114144533.08042914,5.2564935333103055e-08
310.0,300.0,500.0,399.99999999999994,27,517315590.2911194,5.219251170220049e-08
310.0,500.0,750.0,625.0,99,1447750614.5292964,6.838194299933876e-08
310.0,750.0,1000.0,875.0,160,2704387675.965212,5.9163115341033734e-08
320.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
320.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
320.0,100.00000000000001,150.0,125.0,0,19373154.697137043,0.0
320.0,150.0,200.0,175.0,0,31939525.311496243,0.0
320.0,200.0,300.0,250.0,5,114144533.08042914,4.3804112777585876e-08
320.0,300.0,500.0,399.99999999999994,23,517315590.2911194,4.446028774631893e-08
320.0,500.0,750.0,625.0,103,1447750614.5292964,7.114484978719082e-08
320.0,750.0,1000.0,875.0,159,2704387675.965212,5.879334587015228e-08
330.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
330.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
330.0,100.00000000000001,150.0,125.0,2,19373154.697137043,1.0323563876231056e-07
330.0,150.0,200.0,175.0,0,31939525.311496243,0.0
330.0,200.0,300.0,250.0,6,114144533.08042914,5.2564935333103055e-08
330.0,300.0,500.0,399.99999999999994,27,517315590.2911194,5.219251170220049e-08
330.0,500.0,750.0,625.0,93,1447750614.5292964,6.423758281756065e-08
330.0,750.0,1000.0,875.0,175,2704387675.965212,6.470965740425565e-08
340.0,0.0,50.0,25.000000000000004,1,3665191.4291880922,2.72837045300392e-07
340.0,50.0,100.00000000000001,75.0,0,9948376.73636768,0.0
340.0,100.00000000000001,150.0,125.0,1,19373154.697137043,5.161781938115528e-08
340.0,150.0,200.0,175.0,1,31939525.311496243,3.1309169132831856e-08
340.0,200.0,300.0,250.0,3,114144533.08042914,2.6282467666551528e-08
340.0,300.0,500.0,399.99999999999994,37,517315590.2911194,7.152307159190436e-08
340.0,500.0,750.0,625.0,84,1447750614.5292964,5.802104254489349e-08
340.0,750.0,1000.0,875.0,161,2704387675.965212,5.95328848119152e-08
350.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
350.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
350.0,100.00000000000001,150.0,125.0,0,19373154.697137043,0.0
350.0,150.0,200.0,175.0,2,31939525.311496243,6.261833826566371e-08
350.0,200.0,300.0,250.0,5,114144533.08042914,4.3804112777585876e-08
350.0,300.0,500.0,399.99999999999994,41,517315590.2911194,7.925529554778592e-08
350.0,500.0,750.0,625.0,72,1447750614.5292964,4.9732322181337275e-08
350.0,750.0,1000.0,875.0,163,2704387675.965212,6.027242375367812e-08
360.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
360.0,50.0,100.00000000000001,75.0,1,9948376.73636768,1.005189114264602e-07
360.0,100.00000000000001,150.0,125.0,2,19373154.697137043,1.0323563876231056e-07
360.0,150.0,200.0,175.0,4,31939525.311496243,1.2523667653132742e-07
360.0,200.0,300.0,250.0,1,114144533.08042914,8.760822555517176e-09
