time_s,z_low_um,z_high_um,z_mid_um,count
140.0,0.0,100.0,50.0,29
140.0,100.0,200.0,150.0,24
140.0,200.0,300.0,250.0,25
140.0,300.0,400.0,350.0,29
140.0,400.0,500.0,450.0,25
140.0,500.0,600.0,550.0,18
140.0,600.0,700.0,650.0,25
140.0,700.0,800.0,750.0,27
140.0,800.0,900.0,850.0,20
140.0,900.0,1000.0,950.0,28
140.0,1000.0,1100.0,1050.0,30
140.0,1100.0,1200.0,1150.0,22
140.0,1200.0,1300.0,1250.0,20
140.0,1300.0,1400.0,1350.0,24
140.0,1400.0,1500.0,1450.0,22
140.0,1500.0,1600.0,1550.0,30
140.0,1600.0,1700.0,1650.0,33
140.0,1700.0,1800.0,1750.0,20
140.0,1800.0,1900.0,1850.0,26
140.0,1900.0,2000.0,1950.0,23
150.0,0.0,100.0,50.0,22
150.0,100.0,200.0,150.0,31
150.0,200.0,300.0,250.0,25
150.0,300.0,400.0,350.0,19
150.0,400.0,500.0,450.0,29
150.0,500.0,600.0,550.0,34
150.0,600.0,700.0,650.0,19
150.0,700.0,800.0,750.0,19
150.0,800.0,900.0,850.0,25
150.0,900.0,1000.0,950.0,26
150.0,1000.0,1100.0,1050.0,25
150.0,1100.0,1200.0,1150.0,25
150.0,1200.0,1300.0,1250.0,20
150.0,1300.0,1400.0,1350.0,22
150.0,1400.0,1500.0,1450.0,30
150.0,1500.0,1600.0,1550.0,29
150.0,1600.0,1700.0,1650.0,27
150.0,1700.0,1800.0,1750.0,22
150.0,1800.0,1900.0,1850.0,25
150.0,1900.0,2000.0,1950.0,26
160.0,0.0,100.0,50.0,22
160.0,100.0,200.0,150.0,25
160.0,200.0,300.0,250.0,32
160.0,300.0,400.0,350.0,27
160.0,400.0,500.0,450.0,23
160.0,500.0,600.0,550.0,28
160.0,600.0,700.0,650.0,21
160.0,700.0,800.0,750.0,24
160.0,800.0,900.0,850.0,18
160.0,900.0,1000.0,950.0,28
160.0,1000.0,1100.0,1050.0,23
160.0,1100.0,1200.0,1150.0,28
160.0,1200.0,1300.0,1250.0,19
160.0,1300.0,1400.0,1350.0,24
160.0,1400.0,1500.0,1450.0,25
160.0,1500.0,1600.0,1550.0,20
160.0,1600.0,1700.0,1650.0,35
160.0,1700.0,1800.0,1750.0,28
160.0,1800.0,1900.0,1850.0,25
160.0,1900.0,2000.0,1950.0,25
170.0,0.0,100.0,50.0,15
170.0,100.0,200.0,150.0,26
170.0,200.0,300.0,250.0,37
170.0,300.0,400.0,350.0,25
170.0,400.0,500.0,450.0,25
170.0,500.0,600.0,550.0,35
170.0,600.0,700.0,650.0,23
170.0,700.0,800.0,750.0,21
170.0,800.0,900.0,850.0,21
170.0,900.0,1000.0,950.0,22
170.0,1000.0,1100.0,1050.0,22
170.0,1100.0,1200.0,1150.0,21
170.0,1200.0,1300.0,1250.0,25
170.0,1300.0,1400.0,1350.0,22
170.0,1400.0,1500.0,1450.0,28
170.0,1500.0,1600.0,1550.0,25
170.0,1600.0,1700.0,1650.0,33
170.0,1700.0,1800.0,1750.0,22
170.0,1800.0,1900.0,1850.0,27
170.0,1900.0,2000.0,1950.0,25
180.0,0.0,100.0,50.0,21
180.0,100.0,200.0,150.0,29
180.0,200.0,300.0,250.0,23
180.0,300.0,400.0,350.0,30
180.0,400.0,500.0,450.0,30
180.0,500.0,600.0,550.0,24
180.0,600.0,700.0,650.0,28
180.0,700.0,800.0,750.0,17
180.0,800.0,900.0,850.0,20
180.0,900.0,1000.0,950.0,23
180.0,1000.0,1100.0,1050.0,24
180.0,1100.0,1200.0,1150.0,26
180.0,1200.0,1300.0,1250.0,25
180.0,1300.0,1400.0,1350.0,20
180.0,1400.0,1500.0,1450.0,24
180.0,1500.0,1600.0,1550.0,35
180.0,1600.0,1700.0,1650.0,24
180.0,1700.0,1800.0,1750.0,26
180.0,1800.0,1900.0,1850.0,20
180.0,1900.0,2000.0,1950.0,31
190.0,0.0,100.0,50.0,28
190.0,100.0,200.0,150.0,25
190.0,200.0,300.0,250.0,24
190.0,300.0,400.0,350.0,23
190.0,400.0,500.0,450.0,31
190.0,500.0,600.0,550.0,29
190.0,600.0,700.0,650.0,20
190.0,700.0,800.0,750.0,20
190.0,800.0,900.0,850.0,22
190.0,900.0,1000.0,950.0,24
190.0,1000.0,1100.0,1050.0,29
190.0,1100.0,1200.0,1150.0,23
190.0,1200.0,1300.0,1250.0,19
190.0,1300.0,1400.0,1350.0,24
190.0,1400.0,1500.0,1450.0,17
190.0,1500.0,1600.0,1550.0,27
190.0,1600.0,1700.0,1650.0,33
190.0,1700.0,1800.0,1750.0,30
190.0,1800.0,1900.0,1850.0,22
190.0,1900.0,2000.0,1950.0,30
200.0,0.0,100.0,50.0,24
200.0,100.0,200.0,150.0,31
200.0,200.0,300.0,250.0,24
200.0,300.0,400.0,350.0,26
200.0,400.0,500.0,450.0,17
200.0,500.0,600.0,550.0,24
200.0,600.0,700.0,650.0,25
200.0,700.0,800.0,750.0,31
200.0,800.0,900.0,850.0,24
200.0,900.0,1000.0,950.0,21
200.0,1000.0,1100.0,1050.0,31
200.0,1100.0,1200.0,1150.0,23
200.0,1200.0,1300.0,1250.0,22
200.0,1300.0,1400.0,1350.0,17
200.0,1400.0,1500.0,1450.0,19
200.0,1500.0,1600.0,1550.0,29
200.0,1600.0,1700.0,1650.0,30
200.0,1700.0,1800.0,1750.0,27
200.0,1800.0,1900.0,1850.0,29
200.0,1900.0,2000.0,1950.0,26
210.0,0.0,100.0,50.0,32
210.0,100.0,200.0,150.0,20
210.0,200.0,300.0,250.0,26
210.0,300.0,400.0,350.0,29
210.0,400.0,500.0,450.0,20
210.0,500.0,600.0,550.0,14
210.0,600.0,700.0,650.0,36
210.0,700.0,800.0,750.0,19
210.0,800.0,900.0,850.0,31
210.0,900.0,1000.0,950.0,26
210.0,1000.0,1100.0,1050.0,28
210.0,1100.0,1200.0,1150.0,19
210.0,1200.0,1300.0,1250.0,25
210.0,1300.0,1400.0,1350.0,19
210.0,1400.0,1500.0,1450.0,18
210.0,1500.0,1600.0,1550.0,24
210.0,1600.0,1700.0,1650.0,30
210.0,1700.0,1800.0,1750.0,27
210.0,1800.0,1900.0,1850.0,30
210.0,1900.0,2000.0,1950.0,27
220.0,0.0,100.0,50.0,32
220.0,100.0,200.0,150.0,17
220.0,200.0,300.0,250.0,22
220.0,300.0,400.0,350.0,26
220.0,400.0,500.0,450.0,23
220.0,500.0,600.0,550.0,22
220.0,600.0,700.0,650.0,30
220.0,700.0,800.0,750.0,32
220.0,800.0,900.0,850.0,23
220.0,900.0,1000.0,950.0,29
220.0,1000.0,1100.0,1050.0,28
220.0,1100.0,1200.0,1150.0,20
220.0,1200.0,1300.0,1250.0,16
220.0,1300.0,1400.0,1350.0,23
220.0,1400.0,1500.0,1450.0,24
220.0,1500.0,1600.0,1550.0,25
220.0,1600.0,1700.0,1650.0,25
220.0,1700.0,1800.0,1750.0,31
220.0,1800.0,1900.0,1850.0,23
220.0,1900.0,2000.0,1950.0,29
230.0,0.0,100.0,50.0,24
230.0,100.0,200.0,150.0,23
230.0,200.0,300.0,250.0,26
230.0,300.0,400.0,350.0,27
230.0,400.0,500.0,450.0,22
230.0,500.0,600.0,550.0,25
230.0,600.0,700.0,650.0,28
