time_s,time_min,n_alive,n_running,n_tumbling,n_near_substrate,frac_near_substrate,mean_tumble_prob,std_tumble_prob,mean_receptor_activity,mean_methylation,mean_distance_um,median_distance_um,mean_concentration,mean_x_um,mean_y_um,mean_z_um,std_z_um,total_consumption_mol
290.0,4.833333333333333,500,486,14,39,0.078,0.36833026156510856,0.1383132477947041,0.3514188769220943,0.7184225322690903,632.6731996342045,615.0198055247097,0.0006521701603579119,1013.455834069647,986.0639179730714,1056.0383477433763,405.6616499981384,1.695117102031124e-12
300.0,5.0,500,475,25,34,0.068,0.3696660414890605,0.1467182321877387,0.35146234121485576,0.7155959785456405,635.667488405341,614.7986950800549,0.0005972541409010004,1009.2170449027952,985.6384059283821,1053.959225507472,404.4324506451154,1.7537835076872599e-12
310.0,5.166666666666667,500,485,15,34,0.068,0.3657451329067364,0.14433656258176053,0.3508568542710309,0.7127238909022502,637.7298887074871,628.3647667809587,0.0006305062786993849,1019.199426449037,992.9322785931013,1056.9425620301186,409.8173501197131,1.8123755773902017e-12
320.0,5.333333333333333,500,480,20,42,0.084,0.36404290572444503,0.1404485100196975,0.3506802837983455,0.7098892545134715,640.2694460224217,626.8554541208605,0.0006185236897957068,1023.0574297312868,987.0564791655302,1058.479415869043,407.93831945792425,1.870928384928304e-12
330.0,5.5,500,483,17,42,0.084,0.3662578073449961,0.141732474925059,0.35117931180886297,0.7099620509688515,636.6510239234451,605.3902712514562,0.0006041881227364295,1025.2871659842936,987.6895490175219,1072.790741444749,403.39097262148255,1.929647918957271e-12
340.0,5.666666666666667,500,485,15,41,0.082,0.3539798882987583,0.14617272835133144,0.34908830596156515,0.7080592694471655,635.7552117554147,614.9652011404816,0.0006245881801595251,1029.274578158325,984.8500952375175,1080.0462318893947,408.9332552930747,1.988117830617579e-12
350.0,5.833333333333333,500,484,16,46,0.092,0.3556282239177651,0.14412420401458298,0.3491631690208446,0.7122342753102052,626.5987563325637,606.8515342168494,0.0006191189487299144,1032.2872268150772,988.1809661919619,1084.6540470310863,398.6636558758215,2.0463641990815934e-12
360.0,6.0,500,486,14,44,0.088,0.3677144683248083,0.15122036361883623,0.3510705110810403,0.7118298723761858,626.0941458909587,604.8525946219546,0.0006531548608818314,1025.7705827033133,983.9566448303126,1081.8690023359854,399.788660845989,2.1045726478975445e-12
370.0,6.166666666666667,500,481,19,52,0.104,0.3573830592511876,0.14140528516135362,0.3496826475892116,0.7092947905827842,621.3682057559812,598.1209431745651,0.0006702171778402126,1023.8347175852019,979.2330864751721,1076.2056327504197,401.69742350758645,2.1627006484642807e-12
380.0,6.333333333333333,500,486,14,53,0.106,0.36476389201486387,0.143637173392353,0.3505954939945312,0.7098966340087969,617.8970127049271,586.2554829713504,0.0006564925967120412,1029.8261780654047,978.1699324537326,1071.799056080685,397.38348635206194,2.220675527666737e-12
