time_s,time_min,n_alive,n_running,n_tumbling,n_near_substrate,frac_near_substrate,mean_tumble_prob,std_tumble_prob,mean_receptor_activity,mean_methylation,mean_distance_um,median_distance_um,mean_concentration,mean_x_um,mean_y_um,mean_z_um,std_z_um,total_consumption_mol
570.0,9.5,500,484,16,4,0.008,0.35,0.0,0.35,0.35,965.8684382663001,1005.9957204482648,0.00014176802928045535,1014.3479052317201,975.5115696612055,1043.0813203341315,569.7666125545054,3.053192794264123e-12
580.0,9.666666666666666,500,482,18,5,0.01,0.35,0.0,0.35,0.35,961.9430297769646,995.2553495451276,0.00014910631512386472,1011.0777291160705,975.2576904185238,1033.6664760670255,570.270153627654,3.1047019651523593e-12
590.0,9.833333333333334,500,485,15,4,0.008,0.35,0.0,0.35,0.35,961.673570769167,996.1445526478681,0.000145287632204796,1011.0687853443249,976.5881035046223,1026.2608697061862,573.6508156563793,3.156719449460561e-12
600.0,10.0,500,491,9,7,0.014,0.35,0.0,0.35,0.35,956.2348765152794,986.7567512720746,0.0001621871625988195,1012.2150173392511,978.4056332614394,1022.4097259442163,572.6958349686411,3.2085870847539717e-12
610.0,10.166666666666666,500,478,22,6,0.012,0.35,0.0,0.35,0.35,954.8489804319332,989.5651782346621,0.00016009396587955793,1005.5421988466251,977.511288092464,1021.9925863861469,576.0299343466238,3.2606832610874724e-12
620.0,10.333333333333334,500,486,14,7,0.014,0.35,0.0,0.35,0.35,955.5707411435242,970.0774852352715,0.00015787574652912473,1008.912092131897,975.2874547205741,1031.4834121520394,576.9083803876067,3.312593388973578e-12
630.0,10.5,500,480,20,6,0.012,0.35,0.0,0.35,0.35,956.0905861057714,981.3733077625219,0.0001624074039440754,1009.3606502369153,977.2851053128763,1026.9842345515513,570.8226248236025,3.3644872520845424e-12
640.0,10.666666666666666,500,473,27,3,0.006,0.35,0.0,0.35,0.35,955.2363209946815,958.718817192092,0.00015054743992884,1010.8023597169932,982.9451401319957,1030.5562043896707,569.6736135534342,3.4160803556268617e-12
650.0,10.833333333333334,500,480,20,4,0.008,0.35,0.0,0.35,0.35,949.4179292072535,975.5857997431191,0.00015058515902987817,1014.1833626171243,987.9562208772705,1029.351258303969,564.6937582636698,3.467194866120306e-12
660.0,11.0,500,488,12,4,0.008,0.35,0.0,0.35,0.35,944.1733863158382,968.2886724831511,0.00015537248431180626,1018.4521191636487,990.2203828386015,1021.0294696732492,566.2016373832928,3.519527645937985e-12
670.0,11.166666666666666,500,488,12,4,0.008,0.35,0.0,0.35,0.35,949.1094958820385,966.4127504378764,0.00015076842947511898,1019.1390222894397,996.2006231962544,1016.7515341416764,565.2204148891284,3.5713456537301944e-12
680.0,11.333333333333334,500,483,17,1,0.002,0.35,0.0,0.35,0.35,947.7894617810488,970.9372415422474,0.00013827295696900054,1024.604066919188,996.4101697709567,1013.4482711972763,560.127954397809,3.6238719526496234e-12
