time_s,r_inner_um,r_outer_um,r_mid_um,count,shell_volume_um3,density_per_um3
200.0,0.0,50.0,25.000000000000004,2,3665191.4291880922,5.45674090600784e-07
200.0,50.0,100.00000000000001,75.0,2,9948376.73636768,2.010378228529204e-07
200.0,100.00000000000001,150.0,125.0,14,19373154.697137043,7.22649471336174e-07
200.0,150.0,200.0,175.0,13,31939525.311496243,4.0701919872681415e-07
200.0,200.0,300.0,250.0,34,114144533.08042914,2.97867966887584e-07
200.0,300.0,500.0,399.99999999999994,79,517315590.2911194,1.5271142312866067e-07
200.0,500.0,750.0,625.0,108,1447750614.5292964,7.459848327200591e-08
200.0,750.0,1000.0,875.0,128,2704387675.965212,4.733049227282699e-08
210.0,0.0,50.0,25.000000000000004,2,3665191.4291880922,5.45674090600784e-07
210.0,50.0,100.00000000000001,75.0,5,9948376.73636768,5.02594557132301e-07
210.0,100.00000000000001,150.0,125.0,7,19373154.697137043,3.61324735668087e-07
210.0,150.0,200.0,175.0,21,31939525.311496243,6.57492551789469e-07
210.0,200.0,300.0,250.0,24,114144533.08042914,2.1025974133241222e-07
210.0,300.0,500.0,399.99999999999994,92,517315590.2911194,1.778411509852757e-07
210.0,500.0,750.0,625.0,101,1447750614.5292964,6.976339639326479e-08
210.0,750.0,1000.0,875.0,125,2704387675.965212,4.622118386018261e-08
220.0,0.0,50.0,25.000000000000004,4,3665191.4291880922,1.091348181201568e-06
220.0,50.0,100.00000000000001,75.0,7,9948376.73636768,7.036323799852214e-07
220.0,100.00000000000001,150.0,125.0,9,19373154.697137043,4.6456037443039756e-07
220.0,150.0,200.0,175.0,14,31939525.311496243,4.38328367859646e-07
220.0,200.0,300.0,250.0,25,114144533.08042914,2.190205638879294e-07
220.0,300.0,500.0,399.99999999999994,81,517315590.2911194,1.5657753510660145e-07
220.0,500.0,750.0,625.0,119,1447750614.5292964,8.219647693859911e-08
220.0,750.0,1000.0,875.0,132,2704387675.965212,4.880957015635283e-08
230.0,0.0,50.0,25.000000000000004,2,3665191.4291880922,5.45674090600784e-07
230.0,50.0,100.00000000000001,75.0,5,9948376.73636768,5.02594557132301e-07
230.0,100.00000000000001,150.0,125.0,13,19373154.697137043,6.710316519550187e-07
230.0,150.0,200.0,175.0,11,31939525.311496243,3.4440086046115045e-07
230.0,200.0,300.0,250.0,32,114144533.08042914,2.8034632177654963e-07
230.0,300.0,500.0,399.99999999999994,87,517315590.2911194,1.681758710404238e-07
230.0,500.0,750.0,625.0,121,1447750614.5292964,8.357793033252514e-08
230.0,750.0,1000.0,875.0,118,2704387675.965212,4.363279756401238e-08
240.0,0.0,50.0,25.000000000000004,4,3665191.4291880922,1.091348181201568e-06
240.0,50.0,100.00000000000001,75.0,7,9948376.73636768,7.036323799852214e-07
240.0,100.00000000000001,150.0,125.0,11,19373154.697137043,5.677960131927082e-07
240.0,150.0,200.0,175.0,14,31939525.311496243,4.38328367859646e-07
240.0,200.0,300.0,250.0,27,114144533.08042914,2.3654220899896375e-07
240.0,300.0,500.0,399.99999999999994,87,517315590.2911194,1.681758710404238e-07
240.0,500.0,750.0,625.0,111,1447750614.5292964,7.667066336289497e-08
240.0,750.0,1000.0,875.0,124,2704387675.965212,4.5851414389301145e-08
250.0,0.0,50.0,25.000000000000004,4,3665191.4291880922,1.091348181201568e-06
250.0,50.0,100.00000000000001,75.0,10,9948376.73636768,1.005189114264602e-06
250.0,100.00000000000001,150.0,125.0,12,19373154.697137043,6.194138325738634e-07
250.0,150.0,200.0,175.0,12,31939525.311496243,3.757100295939823e-07
250.0,200.0,300.0,250.0,37,114144533.08042914,3.241504345541355e-07
250.0,300.0,500.0,399.99999999999994,80,517315590.2911194,1.5464447911763107e-07
250.0,500.0,750.0,625.0,116,1447750614.5292964,8.012429684771006e-08
250.0,750.0,1000.0,875.0,116,2704387675.965212,4.2893258622249457e-08
260.0,0.0,50.0,25.000000000000004,7,3665191.4291880922,1.909859317102744e-06
260.0,50.0,100.00000000000001,75.0,7,9948376.73636768,7.036323799852214e-07
260.0,100.00000000000001,150.0,125.0,12,19373154.697137043,6.194138325738634e-07
260.0,150.0,200.0,175.0,10,31939525.311496243,3.130916913283186e-07
260.0,200.0,300.0,250.0,38,114144533.08042914,3.329112571096527e-07
260.0,300.0,500.0,399.99999999999994,73,517315590.2911194,1.4111308719483836e-07
260.0,500.0,750.0,625.0,120,1447750614.5292964,8.288720363556212e-08
260.0,750.0,1000.0,875.0,120,2704387675.965212,4.43723365057753e-08
270.0,0.0,50.0,25.000000000000004,2,3665191.4291880922,5.45674090600784e-07
270.0,50.0,100.00000000000001,75.0,10,9948376.73636768,1.005189114264602e-06
270.0,100.00000000000001,150.0,125.0,14,19373154.697137043,7.22649471336174e-07
270.0,150.0,200.0,175.0,12,31939525.311496243,3.757100295939823e-07
270.0,200.0,300.0,250.0,22,114144533.08042914,1.9273809622137788e-07
270.0,300.0,500.0,399.99999999999994,86,517315590.2911194,1.662428150514534e-07
270.0,500.0,750.0,625.0,129,1447750614.5292964,8.910374390822929e-08
270.0,750.0,1000.0,875.0,123,2704387675.965212,4.548164491841968e-08
280.0,0.0,50.0,25.000000000000004,5,3665191.4291880922,1.36418522650196e-06
280.0,50.0,100.00000000000001,75.0,9,9948376.73636768,9.046702028381418e-07
280.0,100.00000000000001,150.0,125.0,2,19373154.697137043,1.0323563876231056e-07
280.0,150.0,200.0,175.0,11,31939525.311496243,3.4440086046115045e-07
280.0,200.0,300.0,250.0,31,114144533.08042914,2.7158549922103244e-07
280.0,300.0,500.0,399.99999999999994,82,517315590.2911194,1.5851059109557185e-07
280.0,500.0,750.0,625.0,131,1447750614.5292964,9.048519730215532e-08
280.0,750.0,1000.0,875.0,116,2704387675.965212,4.2893258622249457e-08
290.0,0.0,50.0,25.000000000000004,1,3665191.4291880922,2.72837045300392e-07
290.0,50.0,100.00000000000001,75.0,6,9948376.73636768,6.031134685587612e-07
290.0,100.00000000000001,150.0,125.0,13,19373154.697137043,6.710316519550187e-07
290.0,150.0,200.0,175.0,10,31939525.311496243,3.130916913283186e-07
290.0,200.0,300.0,250.0,24,114144533.08042914,2.1025974133241222e-07
290.0,300.0,500.0,399.99999999999994,95,517315590.2911194,1.8364031895218688e-07
290.0,500.0,750.0,625.0,127,1447750614.5292964,8.772229051430325e-08
290.0,750.0,1000.0,875.0,114,2704387675.965212,4.215371968048654e-08
300.0,0.0,50.0,25.000000000000004,0,3665191.4291880922,0.0
300.0,50.0,100.00000000000001,75.0,6,9948376.73636768,6.031134685587612e-07
300.0,100.00000000000001,150.0,125.0,8,19373154.697137043,4.1294255504924225e-07
300.0,150.0,200.0,175.0,10,31939525.311496243,3.130916913283186e-07
300.0,200.0,300.0,250.0,35,114144533.08042914,3.0662878944310113e-07
300.0,300.0,500.0,399.99999999999994,93,517315590.2911194,1.797742069742461e-07
300.0,500.0,750.0,625.0,125,1447750614.5292964,8.634083712037722e-08
300.0,750.0,1000.0,875.0,119,2704387675.965212,4.4002567034893844e-08
310.0,0.0,50.0,25.000000000000004,3,3665191.4291880922,8.18511135901176e-07
310.0,50.0,100.00000000000001,75.0,3,9948376.73636768,3.015567342793806e-07
310.0,100.00000000000001,150.0,125.0,6,19373154.697137043,3.097069162869317e-07
310.0,150.0,200.0,175.0,21,31939525.311496243,6.57492551789469e-07
310.0,200.0,300.0,250.0,27,114144533.08042914,2.3654220899896375e-07
310.0,300.0,500.0,399.99999999999994,96,517315590.2911194,1.8557337494115728e-07
310.0,500.0,750.0,625.0,125,1447750614.5292964,8.634083712037722e-08
310.0,750.0,1000.0,875.0,121,2704387675.965212,4.474210597665676e-08
320.0,0.0,50.0,25.000000000000004,4,3665191.4291880922,1.091348181201568e-06
320.0,50.0,100.00000000000001,75.0,5,9948376.73636768,5.02594557132301e-07
320.0,100.00000000000001,150.0,125.0,8,19373154.697137043,4.1294255504924225e-07
320.0,150.0,200.0,175.0,12,31939525.311496243,3.757100295939823e-07
320.0,200.0,300.0,250.0,32,114144533.08042914,2.8034632177654963e-07
320.0,300.0,500.0,399.99999999999994,90,517315590.2911194,1.7397503900733494e-07
320.0,500.0,750.0,625.0,129,1447750614.5292964,8.910374390822929e-08
320.0,750.0,1000.0,875.0,125,2704387675.965212,4.622118386018261e-08
330.0,0.0,50.0,25.000000000000004,4,3665191.4291880922,1.091348181201568e-06
330.0,50.0,100.00000000000001,75.0,6,9948376.73636768,6.031134685587612e-07
330.0,100.00000000000001,150.0,125.0,12,19373154.697137043,6.194138325738634e-07
330.0,150.0,200.0,175.0,10,31939525.311496243,3.130916913283186e-07
330.0,200.0,300.0,250.0,32,114144533.08042914,2.8034632177654963e-07
330.0,300.0,500.0,399.99999999999994,84,517315590.2911194,1.6237670307351262e-07
330.0,500.0,750.0,625.0,128,1447750614.5292964,8.841301721126626e-08
330.0,750.0,1000.0,875.0,121,2704387675.965212,4.474210597665676e-08
340.0,0.0,50.0,25.000000000000004,6,3665191.4291880922,1.637022271802352e-06
340.0,50.0,100.00000000000001,75.0,8,9948376.73636768,8.041512914116816e-07
340.0,100.00000000000001,150.0,125.0,11,19373154.697137043,5.677960131927082e-07
340.0,150.0,200.0,175.0,13,31939525.311496243,4.0701919872681415e-07
340.0,200.0,300.0,250.0,39,114144533.08042914,3.416720796651699e-07
340.0,300.0,500.0,399.99999999999994,76,517315590.2911194,1.469122551617495e-07
340.0,500.0,750.0,625.0,117,1447750614.5292964,8.081502354467308e-08
340.0,750.0,1000.0,875.0,129,2704387675.965212,4.770026174370845e-08
350.0,0.0,50.0,25.000000000000004,5,3665191.4291880922,1.36418522650196e-06
350.0,50.0,100.00000000000001,75.0,10,9948376.73636768,1.005189114264602e-06
350.0,100.00000000000001,150.0,125.0,14,19373154.697137043,7.22649471336174e-07
350.0,150.0,200.0,175.0,16,31939525.311496243,5.009467061253097e-07
350.0,200.0,300.0,250.0,32,114144533.08042914,2.8034632177654963e-07
350.0,300.0,500.0,399.99999999999994,79,517315590.2911194,1.5271142312866067e-07
350.0,500.0,750.0,625.0,110,1447750614.5292964,7.597993666593195e-08
350.0,750.0,1000.0,875.0,133,2704387675.965212,4.9179339627234295e-08
360.0,0.0,50.0,25.000000000000004,2,3665191.4291880922,5.45674090600784e-07
360.0,50.0,100.00000000000001,75.0,10,9948376.73636768,1.005189114264602e-06
360.0,100.00000000000001,150.0,125.0,13,19373154.697137043,6.710316519550187e-07
360.0,150.0,200.0,175.0,15,31939525.311496243,4.6963753699247785e-07
360.0,200.0,300.0,250.0,34,114144533.08042914,2.97867966887584e-07
360.0,300.0,500.0,399.99999999999994,71,517315590.2911194,1.3724697521689756e-07
360.0,500.0,750.0,625.0,117,1447750614.5292964,8.081502354467308e-08
360.0,750.0,1000.0,875.0,136,2704387675.965212,5.0288648039878677e-08
370.0,0.0,50.0,25.000000000000004,4,3665191.4291880922,1.091348181201568e-06
370.0,50.0,100.00000000000001,75.0,11,9948376.73636768,1.1057080256910623e-06
370.0,100.00000000000001,150.0,125.0,10,19373154.697137043,5.161781938115529e-07
370.0,150.0,200.0,175.0,14,31939525.311496243,4.38328367859646e-07
370.0,200.0,300.0,250.0,28,114144533.08042914,2.4530303155448094e-07
370.0,300.0,500.0,399.99999999999994,80,517315590.2911194,1.5464447911763107e-07
370.0,500.0,750.0,625.0,122,1447750614.5292964,8.426865702948817e-08
370.0,750.0,1000.0,875.0,132,2704387675.965212,4.880957015635283e-08
380.0,0.0,50.0,25.000000000000004,2,3665191.4291880922,5.45674090600784e-07
380.0,50.0,100.00000000000001,75.0,8,9948376.73636768,8.041512914116816e-07
380.0,100.00000000000001,150.0,125.0,13,19373154.697137043,6.710316519550187e-07
380.0,150.0,200.0,175.0,12,31939525.311496243,3.757100295939823e-07
380.0,200.0,300.0,250.0,36,114144533.08042914,3.153896119986183e-07
380.0,300.0,500.0,399.99999999999994,81,517315590.2911194,1.5657753510660145e-07
380.0,500.0,750.0,625.0,126,1447750614.5292964,8.703156381734023e-08
380.0,750.0,1000.0,875.0,109,2704387675.965212,4.030487232607923e-08
390.0,0.0,50.0,25.000000000000004,5,3665191.4291880922,1.36418522650196e-06
390.0,50.0,100.00000000000001,75.0,5,9948376.73636768,5.02594557132301e-07
390.0,100.00000000000001,150.0,125.0,11,19373154.697137043,5.677960131927082e-07
390.0,150.0,200.0,175.0,10,31939525.311496243,3.130916913283186e-07
390.0,200.0,300.0,250.0,41,114144533.08042914,3.591937247762042e-07
390.0,300.0,500.0,399.99999999999994,74,517315590.2911194,1.4304614318380873e-07
390.0,500.0,750.0,625.0,116,1447750614.5292964,8.012429684771006e-08
390.0,750.0,1000.0,875.0,134,2704387675.965212,4.954910909811575e-08
400.0,0.0,50.0,25.000000000000004,5,3665191.4291880922,1.36418522650196e-06
400.0,50.0,100.00000000000001,75.0,7,9948376.73636768,7.036323799852214e-07
400.0,100.00000000000001,150.0,125.0,10,19373154.697137043,5.161781938115529e-07
400.0,150.0,200.0,175.0,9,31939525.311496243,2.817825221954867e-07
400.0,200.0,300.0,250.0,43,114144533.08042914,3.7671536988723857e-07
400.0,300.0,500.0,399.99999999999994,81,517315590.2911194,1.5657753510660145e-07
400.0,500.0,750.0,625.0,102,1447750614.5292964,7.04541230902278e-08
400.0,750.0,1000.0,875.0,123,2704387675.965212,4.548164491841968e-08
410.0,0.0,50.0,25.000000000000004,5,3665191.4291880922,1.36418522650196e-06
410.0,50.0,100.00000000000001,75.0,10,9948376.73636768,1.005189114264602e-06
410.0,100.00000000000001,150.0,125.0,13,19373154.697137043,6.710316519550187e-07
410.0,150.0,200.0,175.0,11,31939525.311496243,3.4440086046115045e-07
410.0,200.0,300.0,250.0,34,114144533.08042914,2.97867966887584e-07
410.0,300.0,500.0,399.99999999999994,67,517315590.2911194,1.29514751261016e-07
410.0,500.0,750.0,625.0,108,1447750614.5292964,7.459848327200591e-08
410.0,750.0,1000.0,875.0,127,2704387675.965212,4.6960722801945526e-08
420.0,0.0,50.0,25.000000000000004,2,3665191.4291880922,5.45674090600784e-07
420.0,50.0,100.00000000000001,75.0,12,9948376.73636768,1.2062269371175224e-06
420.0,100.00000000000001,150.0,125.0,13,19373154.697137043,6.710316519550187e-07
420.0,150.0,200.0,175.0,14,31939525.311496243,4.38328367859646e-07
420.0,200.0,300.0,250.0,30,114144533.08042914,2.6282467666551526e-07
420.0,300.0,500.0,399.99999999999994,77,517315590.2911194,1.488453111507199e-07
420.0,500.0,750.0,625.0,102,1447750614.5292964,7.04541230902278e-08
420.0,750.0,1000.0,875.0,122,2704387675.965212,4.5111875447538226e-08
430.0,0.0,50.0,25.000000000000004,2,3665191.4291880922,5.45674090600784e-07
430.0,50.0,100.00000000000001,75.0,8,9948376.73636768,8.041512914116816e-07
430.0,100.00000000000001,150.0,125.0,15,19373154.697137043,7.742672907173293e-07
430.0,150.0,200.0,175.0,15,31939525.311496243,4.6963753699247785e-07
430.0,200.0,300.0,250.0,25,114144533.08042914,2.190205638879294e-07
430.0,300.0,500.0,399.99999999999994,78,517315590.2911194,1.5077836713969027e-07
430.0,500.0,750.0,625.0,108,1447750614.5292964,7.459848327200591e-08
430.0,750.0,1000.0,875.0,126,2704387675.965212,4.659095333106407e-08
